MS:  	 1823: 
[DELstart] f[DELend]  	[NO 1823 VARIANT]
[DELstart] heath[DELend]  	[NO 1823 VARIANT]
exceed[ADDstart] ed[ADDend] moderation; 	 exceeded moderation; 
succeed ed these dreams vanished 	 finished, the beauty of the dream vanished, 
[ADDstart] ^[ADDend] to 	 to 
[DELstart] creature[DELend][ADDstart] being[ADDend]  	 being 
 room 	 room, 
[DELstart] remained[DELend][ADDstart] continued[ADDend]  	 continued 
 bed chamber 	 bed-chamber, 
 lenght 	 length 
 endured, 	 endured; 
 my 	 the 
 clothes 	 clothes, 
[DELstart] feew[DELend]  	[NO 1823 VARIANT]
 forgetfullness. 	 forgetfulness. 
 vain; 	 vain: 
 indeed 	 indeed, 
 dreams– 	 dreams. I thought 
Elizabeth [ADDstart] ^[ADDend] in 	 Elizabeth, in 
health  	 health, 
 Ingolstadt; delighted & surprised 	 Ingolstadt. Delighted and surprised, 
 her 	 her; 
 lips 	 lips, 
 lurid 	 livid 
  	[NO 1823 VARIANT]
 change 	 change, 
arms[ADDstart] :[ADDend][ADDstart] A[ADDend]  	 arms; a 
 envolepped 	 enveloped 
 form & 	 form, and 
 grave worms 	 grave-worms 
 flannel; 	 flannel. 
[ADDstart] ^[ADDend] from 	 from 
 horror, 	 horror; 
[DELstart] when I saw[DELend]  	[NO 1823 VARIANT]
 forehead 	 forehead, 
[DELstart] ah[DELend]  chattered 	 chattered, 
[DELstart] was[DELend][ADDstart] became[ADDend][ADDstart] s[ADDend] ed, 	 became convulsed; 
 moon 	 moon, 
 wretch — the 	 wretch—the 
created; he hel[ADDstart] d[ADDend] up 	 created. He held up the curtain of 
 curtain, 	 bed; 
eyes[ADDstart] —[ADDend] ; 	 eyes, 
called,[ADDstart] —[ADDend]  	 called, 
 me–His 	 me. His 
 opened 	 opened, 
[DELstart] in[DELend][ADDstart] in[ADDend]  	[NO 1823 VARIANT]
[DELstart] words[DELend] while 	 inarticulate sounds, while 
 spoken 	 spoken, 
 hear — 	 hear; 
[DELstart] had[DELend]  	[NO 1823 VARIANT]
 out 	 out, seemingly 
 me 	 me, 
 escaped 	 escaped, 
[DELstart] ran[DELend] rushed 	 rushed 
[DELstart] the[DELend][DELstart] case[DELend][ADDstart] the[ADDend][ADDstart] case[ADDend]  	 stairs. 
 a 	 the 
 night 	 night, 
 agitation; 	 agitation, 
 arrival 	 approach 
life. Oh! 	 life.     Oh! 
[ADDstart] ^[ADDend][ADDstart] again[ADDend]  	 again 
[DELstart] life[DELend][ADDstart] animation[ADDend]  	 animation 
  	[NO 1823 VARIANT]
 . 	 that wretch. 
[DELstart] and I thought[DELend]  	[NO 1823 VARIANT]
 then. But 	 then; but 
 endued with motion 	 rendered capable of motion, 
[DELstart] to[DELend]  	[NO 1823 VARIANT]
 never 	 not 
conceived. I 	 conceived.     I 
wretchedly–  sometimes 	 wretchedly. Sometimes 
pulse[ADDstart] s[ADDend]  	 pulse 
[ADDstart] ^[ADDend][ADDstart] r[ADDend] dly 	 hardly, 
 artery: At others 	 artery; at others, 
 sunk 	 sank 
[DELstart] with[DELend][ADDstart] thro[ADDend]  	 through 
[DELstart] Surely so wretched a[DELend] and mingled 	 Mingled 
hor ror 	 horror, 
[DELstart] disapp[DELend][DELstart] creature as I never before existed.[DELend] Dreams 	 disappointment; dreams 
 space 	 space, 
me– [DELstart] I[DELend]  	 me; 
complete. Morning — 	 complete!     Morning, 
 wet — 	 wet, 
leng[ADDstart] th[ADDend] dawned, 	 length dawned, 
[DELstart] to[DELend]  	[NO 1823 VARIANT]
Ingols stadt 	 Ingolstadt, 
&[DELstart] the[DELend][ADDstart] the its[ADDend]  clock 	 and clock, 
 pointed to 	 indicated 
sixth[DELstart] e[DELend]  	 sixth 
 court 	 court, 
 assylum 	 asylum, 
 steps 	 steps, 
[DELstart] ough[DELend]  	[NO 1823 VARIANT]
 in 	 of 
  	[NO 1823 VARIANT]
[DELstart] to[DELend]  	[NO 1823 VARIANT]
appartment [ADDstart] ^[ADDend][ADDstart] which[ADDend]  	 apartment which 
 inhabited 	 inhabited, 
 on 	 on, 
[DELstart] drizzling[DELend]  	[NO 1823 VARIANT]
sky. I 	 sky.     I 
 time endeavouring 	 time, endeavouring, 
 exercise 	 exercise, 
 streets 	 streets, 
 was 	 was, 
 doing: my 	 doing. My 
[DELstart] with[DELend][ADDstart] ^[ADDend] in 	 in 
 fear 	 fear; 
 steps 	 steps, 
me, "Like 	 me:             Like 
 who 	 who, 
lon[ADDstart] es[ADDend] "doth 	 lonely road,     Doth 
dread "and 	 dread,     And, 
round [DELstart] wal[DELend] And 	 round, walks on,     And 
head  "Because 	 head;     Because 
 "doth 	 fiend     Doth 
tread." Continueing 	 tread*.         *   Coleridge’s “Ancient Mariner.”           Continuing 
lenght [DELstart] opposite[DELend] opposite 	 length opposite 
 Inn 	 inn 
 paused 	 paused, 
 why 	 why; 
[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	 it 
 nearer 	 nearer, 
 diligence; 	 diligence: 
 standing, and 	 standing; and, 
  	[NO 1823 VARIANT]
 doors 	 door 
 opened 	 opened, 
 who 	 who, 
  	[NO 1823 VARIANT]
 me 	 me, 
out. "My 	 out. “My 
 Frankenstien," 	 Frankenstein,” 
he  "How 	 he, “how 
 you; 	 you! 
 "fortunate 	 fortunate 
[ADDstart] ^[ADDend][ADDstart] very[ADDend]  	 very 
alighting." Nothing 	 alighting!”     Nothing 
[DELstart] see[DELend]  seing Clerval: 	 seeing Clerval; 
 Elizabeth 	 Elizabeth, 
 misfortune. 	 misfortune; 
felt[ADDstart] ^[ADDend] suddenly, 	 felt suddenly, 
[DELstart] for[DELend][ADDstart] during[ADDend] for 	 during 
 friend therefore 	 friend, therefore, 
manner & we 	 manner, and we 
 colledge. 	 college. 
[DELstart] ran on[DELend][DELstart] talked[DELend]  	[NO 1823 VARIANT]
mutual friends 	 mutual friends, 
[ADDstart] own[ADDend] good 	 own good 
 allowed 	 permitted 
Ingolstadt. "You 	 Ingolstadt. “You 
 believe," 	 easily believe,” 
[DELstart] "that[DELend] "it 	 “how great 
not with[DELstart] out[DELend] "trouble that I persuaded 	 the difficulty to persuade 
 "father 	 father 
 is 	 was 
 "necessary 	 necessary 
 "know nothing 	 understand any thing 
bookeeping "and indeed 	 book-keeping; and, indeed, 
 "incredulous 	 incredulous 
 last 	 last, 
applications  "was 	 unwearied entreaties was 
[ADDstart] ^[ADDend][ADDstart] that of[ADDend] "master 	 that of the Dutch schoolmaster 
Wakefield–   " I 	 Wakefield: ‘I 
florins– [DELstart] a year[DELend][DELstart] yr.[DELend][ADDstart] yr.[ADDend] "eat 	 florins a year without Greek, I eat 
 "But 	 without Greek.’ But 
 "length 	 length 
for  "learning, 	 of learning, 
[ADDstart] ^[ADDend][ADDstart] under[ADDend] take 	 to undertake 
discovery to 	 discovery to 
 "And 	 knowledge.”     “It gives me the greatest delight to see you; but tell me how you left 
brothers &Eliza he "only 	 brothers, and Elizabeth.”     “Very well, and very happy, only 
[DELstart] yo[DELend] "they 	 they 
seldom, & "by 	 seldom. By 
 bye, 	 by, 
 "a 	 a 
 "myself– But 	 myself.—But, 
 Frankenstein" 	 Frankenstein,” 
 he 	 he, 
 short & 	 short, and 
 "full 	 full 
 face "I 	 face, “I 
 "remark 	 remark 
 are. So 	 appear; so 
 "and 	 and 
 appear 	 look 
 "been 	 been 
nights." "You 	 nights.”     “You 
 right" 	 right; 
replied  "I 	[NO 1823 VARIANT]
[DELstart] several[DELend][DELstart] studious[DELend]  	[NO 1823 VARIANT]
occupation[DELstart] s[DELend]  	 occupation, 
[DELstart] did[DELend][ADDstart] have[ADDend][ADDstart] ed[ADDend][ADDstart] ^[ADDend][ADDstart] myself[ADDend]  	 have not allowed myself 
 rest 	 rest, 
[ADDstart] ;[ADDend]  	 see: 
 hope 	 hope, that 
those  "occupations 	 these employments 
 end—I 	 end, and that I 
free  "now 	 at length free.”     
hope." I 	[NO 1823 VARIANT]
 excessively: 	 excessively; 
 bear 	 endure 
of[ADDstart] ,[ADDend] & 	 of, and 
 occurences 	 occurrences 
prece[DELstart] e[DELend] ding 	 preceding 
[DELstart] I continued to walk[DELend][DELstart] theire[DELend]  	[NO 1823 VARIANT]
 therefore 	[NO 1823 VARIANT]
 colledge. 	 college. 
 reflected – 	 reflected, 
 shiver 	 shiver, 
 appartment 	 apartment 
 still there—alive 	 there, alive, 
 see him 	 behold this monster; 
 dreaded 	 feared 
[DELstart] h[DELend][DELstart] I therefore[DELend][ADDstart] ing[ADDend]  	 see him. Entreating 
[ADDstart] ^[ADDend][ADDstart] therefore[ADDend] to 	 therefore to 
[DELstart] while[DELend]  	[NO 1823 VARIANT]
recovered  myself, when 	 recollected myself. 
 paused 	 then paused; 
 open 	 forcibly open, 
 side. But 	 side; but 
  	 in: 
 appartment 	 apartment 
 empty, 	 empty; 
 bedroon 	 bed-room 
[DELstart] belief[DELend]  	[NO 1823 VARIANT]
 good fortune 	 good-fortune 
[DELstart] was[DELend][ADDstart] became[ADDend]  	 became 
 joy 	 joy, 
Henr We 	 Clerval.     We 
room & present  ly 	 room, and 
 breakfast: 	 breakfast; 
 me,–I 	 me; I 
 the 	[NO 1823 VARIANT]
 sensitiveness 	 sensitiveness, 
 place — 	 place; 
hand[ADDstart] s[ADDend] & 	 hands, and 
 arrival– 	 arrival; 
[DELstart] saw[DELend]  	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] more attentively[ADDend] he 	 more attentively, he 
 account 	 account; 
 loud unrestrained 	 loud, unrestrained, 
laugh ter 	 laughter, 
him. My 	 him.     “My 
 Frankenstein," 	 Victor,” 
 he "What 	 he, “what, 
 God's sake 	 God’s sake, 
matter [DELstart] for[DELend]  do 	 matter? Do 
so – [DELstart] What has[DELend]  	 in that manner. 
this? Do 	 this?     “Do 
 me 	 me,” 
[DELstart] fef[DELend][ADDstart] s[ADDend]  	 hands 
[DELstart] Wh[DELend]  He 	 room; “ he  
 tell! Oh 	 tell.—Oh, 
 me 	 me! 
[DELstart] I[DELend]  me"– 	 me!” 
 me 	 me; 
furious  ly & 	 furiously, and 
fit. Poor 	 fit.     Poor 
 What 	 what 
 feelings. 	 feelings? 
[DELstart] joy[DELend][DELstart] meti[DELend]  meeting 	 meeting, 
 had 	[NO 1823 VARIANT]
 joy 	 joy, 
 did 	 was 
 grief 	 grief; 
[DELstart] senseless[DELend][ADDstart] lifeless[ADDend]  	 lifeless, 
[DELstart] several[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 This 	 This 
 fever 	 fever, 
  	[NO 1823 VARIANT]
[DELstart] And[DELend]  during 	 During 
 this 	 that 
that [DELstart] kn[DELend]  	 that, 
 fathers 	 father’s 
 age 	 age, 
journey & wretched Elizabeth 	 journey, and how wretched my sickness 
 be 	 make Elizabeth, 
 had 	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] grief[ADDend]  	 grief 
[DELstart] partly[DELend] ing 	 concealing 
 & 	 and 
 himself, and 	 himself; and, 
 had 	 felt 
 recovery 	 recovery, 
 that 	 that, 
 harm 	 harm, 
them. But 	 them.     But 
ill & surely 	 ill; and surely 
[DELstart] affection[DELend] & 	 and 
mo[ADDstart] ^[ADDend][ADDstart] n[ADDend] ster 	 monster 
 life 	 existence 
[ADDstart] my[ADDend] eyes, 	 my eyes, 
[DELstart] incessant[DELend]  	[NO 1823 VARIANT]
[ADDstart] Doubtless[ADDend] My 	 Doubtless my 
[DELstart] no[DELend][DELstart] doubt[DELend] surprised Henry – 	 surprised Henry: 
disordered  imagination 	 disturbed imagination; 
  	[NO 1823 VARIANT]
[DELstart] astonished him.[DELend][DELstart] sta[DELend]  	[NO 1823 VARIANT]
 & 	 and 
[DELstart] It was[DELend]  by 	 event.     By 
 degrees 	 degrees, 
 relapses 	 relapses, 
& grieved 	 and grieved 
friend [DELstart] that[DELend]  	 friend, 
 that 	[NO 1823 VARIANT]
 was 	 became 
 disappeared 	 disappeared, 
 trees. 	 trees that shaded my window. 
 spring & 	 spring; and 
 no doubt 	[NO 1823 VARIANT]
bosom[ADDstart] ,[ADDend]  	 bosom; 
 disappeared 	 disappeared, 
[DELstart] that consumed me[DELend][ADDstart] ,[ADDend] "how 	 passion.     “Dearest Clerval,” exclaimed I, “how kind, how 
 "whole winter 	 whole winter, 
spending it [DELstart] at[DELend]  	 being spent 
 study 	 study, 
 "has 	 has 
room:  "how 	 room. How 
 "the 	 the 
[DELstart] c[DELend] sion of– But 	 occasion; but 
me." "You 	 me.”     “You 
me," replied Henry,  "if 	 me entirely, if 
dis compose yourself; "but 	 discompose yourself, but 
ca[ADDstart] n[ADDend] "since 	 can; and since 
 "spirits 	 spirits, 
 "one subject; 	 one subject, 
not?" I trembled; one 	 not?”     I trembled. One 
 What 	 what 
to[ADDstart] ^[ADDend][ADDstart] an[ADDend]  	 to an 
think. Do not fright en yourself," 	 think?     “Compose yourself,” 
 colour," I 	 colour, “I 
 "it 	 it, 
 you. But 	 you; but 
 "and 	 and 
 so 	 very 
[DELstart] rec[DELend]  	[NO 1823 VARIANT]
 "your 	 your 
 hand – 	 hand-writing. 
 "ill 	 ill 
 "at 	 at 
silence." Is 	 silence.”     “Is 
"I said smiling  "My 	 my 
 Henry how 	 Henry. How 
 "that 	 that 
 thoughts 	 thought 
[DELstart] that[DELend][ADDstart] ߶[ADDend][ADDstart] those[ADDend]  	 fly towards those 
 "whom 	 whom 
 love 	 love, 
 "of 	 of 
love." "If 	 love.”     “If 
temper"  said Henry "you 	 temper, my friend, you 
perhaps  "to 	 to 
[DELstart] here[DELend]  	[NO 1823 VARIANT]
[DELstart] ly[DELend][DELstart] e[DELend]  	 lying 
 "cousin 	 cousin, 
believe."  	 believe.” 
[ADDstart] Ch V– 113[ADDend] He 	 C LERVAL  
 "To 	      “ To  
Frankenstien [DELstart] Apri[DELend][ADDstart] March[ADDend] "I 	 F RANKENSTEIN .       “ MY DEAR COUSIN ,     “I 
uneasi ness 	 uneasiness 
 disorder, 	 disorder: 
 handwriting 	 hand-writing; 
 Henry – Surely Victor 	 Henry. Surely, Victor, 
very ill and 	 exceedingly ill; and 
 wretched 	 wretched, 
 nearly 	 nearly 
 father 	 uncle 
[DELstart] of this[DELend] that 	 that 
[ADDstart] ߶[ADDend][ADDstart] undertaking[ADDend]  	 undertaking 
[DELstart] I[DELend][DELstart] but I entreated him not[DELend][DELstart] to undertake it[DELend][DELstart] because[DELend][DELstart] for[DELend][DELstart] although[DELend][DELstart] tha[DELend][DELstart] make him very ill[DELend][DELstart] and[DELend][ADDstart] to undertake it[ADDend][ADDstart] ^[ADDend][ADDstart] for[ADDend][ADDstart] n[ADDend][ADDstart] the[ADDend][ADDstart] have[ADDend] Clerval 	 Clerval 
 were 	 are 
better [DELstart] and[DELend][DELstart] arden[DELend][ADDstart] ^[ADDend]  	 better; I 
this[ADDstart] intelligence[ADDend]  	 this intelligence 
 handwriting 	 handwriting; 
 indeed Victor 	 Victor, 
[DELstart] uneasy[DELend][ADDstart] ^[ADDend] miserable 	 miserable 
 fear 	 fear, 
 world.– My uncles 	 world. Your father’s 
[DELstart] impro[DELend]  	[NO 1823 VARIANT]
[DELstart] well &[DELend][DELstart] far[DELend][ADDstart] far[ADDend]  vigorous 	 so vigorous, 
[DELstart] so[DELend][ADDstart] so[ADDend]  	[NO 1823 VARIANT]
 him; 	 him: 
sixteen  you know 	 sixteen, 
[DELstart] quite[DELend]  	[NO 1823 VARIANT]
  	[NO 1823 VARIANT]
 that 	 which 
 ago – 	 ago; 
well &[DELstart] y[DELend] "My 	 robust and active.     “My 
[DELstart] the[DELend] last night 	[NO 1823 VARIANT]
 Ernest 	 profession Ernest 
be should 	[NO 1823 VARIANT]
 ill health 	 illness 
 of 	 him of 
 habit 	 habits 
 application 	 application; 
health [DELstart] we[DELend]  	 health, 
air [DELstart] on[DELend] climbing 	 air, climbing 
 hills 	 hills, 
 I, therefore, 	 I therefore 
should[ADDstart] be[ADDend]  	 should be 
 farmer 	 farmer; 
 know cousin 	 know, cousin, 
 mine –A farmer's 	 mine. A farmer’s 
[DELstart] &[DELend]  	[NO 1823 VARIANT]
 hurtful 	 hurtful, 
 benificial 	 beneficial profession 
any[ADDstart] ^[ADDend] of 	[NO 1823 VARIANT]
[DELstart] father[DELend]  	[NO 1823 VARIANT]
being[ADDstart] ^[ADDend] educated 	 being educated 
interrest he 	 interest he 
 But 	 But, 
 fit 	 fitted 
[DELstart] better[DELend][DELstart] honourable[DELend][ADDstart] more honourable[ADDend][ADDstart] creditable[ADDend]  to 	 more creditable 
 man 	 man, 
[DELstart] it[DELend]  	[NO 1823 VARIANT]
[ADDstart] a[ADDend] nt & 	 confidant, and 
[DELstart] a helpmate[DELend][ADDstart] the accomplice[ADDend]  	 the accomplice, 
[DELstart] their[DELend][ADDstart] his[ADDend]  	 his 
employment[ADDstart] ^&[ADDend] And if he should become 	 profession of 
judge  	 lawyer. 
 said 	 said, 
[DELstart] rich[DELend] the occupation 	 the employments 
 farmer 	 farmer, 
 it 	 they 
honourable it was 	 honourable, they were 
employ  ment 	 species of occupation 
 nature 	 nature. 
 smiled 	 smiled, 
 said 	 said, 
[DELstart] ougt[DELend][ADDstart] g[ADDend]  	[NO 1823 VARIANT]
 myself; 	 myself, 
subject And 	 subject.     “And 
[DELstart] Ju[DELend]  	[NO 1823 VARIANT]
[DELstart] Martin[DELend] Perhaps 	 Moritz? Probably 
 not 	 not; 
therefore  tell you 	 relate 
 story 	 history, therefore, 
Mad.  Martin 	 Madame Moritz, 
 Mother 	 mother, 
 children 	 children, 
[DELstart] this[DELend]  	[NO 1823 VARIANT]
[DELstart] favou[DELend]  	[NO 1823 VARIANT]
father [DELstart] and[DELend][ADDstart] butthro[ADDend]  an odd perversity 	 father; but, through a strange perversity, 
Mother [DELstart] never[DELend]  	 mother 
[DELstart] bear[DELend][ADDstart] ^[ADDend] not 	 not 
 her and 	 her, and, 
[DELstart] Martin[DELend][ADDstart] Moritz[ADDend]  	 Moritz, 
 this, and 	 this; and, 
[DELstart] ten[DELend]  	[NO 1823 VARIANT]
old   	 of age, 
our house. The 	 her house. The 
[DELstart] state[DELend]  country, 	 country 
 & 	 and 
[DELstart] Ju Whilst[DELend] Hence 	 Hence 
dis[DELstart] s[DELend]  	 distinction 
into  & 	 of its inhabitants; and 
 despised 	 despised, their manners 
 & 	 and 
 at 	 in 
or England [DELstart] was[DELend] thus recieved into 	 and England. Justine, thus received in 
family to  learn 	 family, learned 
 servant, which 	 condition which, 
 country 	 country, 
sacri fize 	 sacrifice 
[DELstart] Where[DELend]  	 being.     “After what I have said, 
 that 	[NO 1823 VARIANT]
 now 	 well 
 all about it, 	 the heroine of my little tale: 
 yours, & 	 yours; and 
[DELstart] remember[DELend][ADDstart] recollect[ADDend]  	 recollect 
 said, 	 remarked, 
  	[NO 1823 VARIANT]
[DELstart] a[DELend]  	[NO 1823 VARIANT]
 humour 	 humour, 
 Justine, 	 Justine 
it [DELstart] from[DELend][ADDstart] for[ADDend]  	 it, for 
 gave 	 gives 
 Angelica:– she 	 Angelica—she 
 frank hearted 	 frank-hearted 
Aunt [DELstart] was very fond of her which[DELend][DELstart] caused[DELend] concieved an 	 aunt conceived a great 
[DELstart] her to[DELend][ADDstart] ^[ADDend][ADDstart] was[ADDend][ADDstart] induced[ADDend][ADDstart] ^[ADDend][ADDstart] to[ADDend]  	 was induced to 
an[DELstart] d[DELend]  	 an 
[ADDstart] ^[ADDend][ADDstart] had[ADDend]  	 had 
intended[DELstart] and she[DELend][ADDstart] .[ADDend] This 	 intended. This 
[DELstart] for[DELend]  	[NO 1823 VARIANT]
 world. 	 world: 
 professions–I 	 professions, I 
lips [DELstart] w[DELend]  	 lips; 
 eye 	 eyes 
 very 	 her disposition was 
 the greatest 	 thegreatest 
Aunt–  she 	 aunt. She 
[DELstart] miracle[DELend][ADDstart] model[ADDend]  	 model 
[DELstart] perfection[DELend][ADDstart] all[ADDend][ADDstart] excellence,[ADDend]  	 all excellence, 
 words 	 phraseology 
 even her 	[NO 1823 VARIANT]
[ADDstart] ^[ADDend][ADDstart] even[ADDend]  	 even 
[DELstart] very[DELend]  	[NO 1823 VARIANT]
[DELstart] puts[DELend][DELstart] in mind[DELend]  	 reminds me 
[DELstart] You did not[DELend] When 	    “When 
 Aunt died 	 aunt died, 
  	[NO 1823 VARIANT]
[DELstart] grif[DELend]  	[NO 1823 VARIANT]
 Justine 	 Justine, 
[DELstart] whole[DELend] illness 	 illness 
 greatest 	 most anxious 
 ill 	 ill; 
 tryals 	 trials 
her. One 	 her.     “One 
 one 	 one, 
 & 	 and 
 had died 	 died; 
 mother was now 	 mother, 
 daugher 	 daughter, 
troubled  and 	 troubled; 
judgement [ADDstart] sent[ADDend] from 	 judgment from 
[DELstart] punish[DELend][ADDstart] chastise[ADDend]  	 chastise 
partialli[ADDstart] t[ADDend] she 	 partiality. She 
 roman Catholic 	 Roman Catholic; 
 encouraged 	 confirmed 
idea[ADDstart] ^[ADDend] which 	 idea which 
concieved. . 	 conceived. 
 Months 	 months 
[DELstart] sh[DELend]  	[NO 1823 VARIANT]
 Mother. 	 mother. 
 girl 	 girl! 
 house 	 house; 
 aunt: 	 aunt; 
 manners 	 manners, 
[DELstart] did[DELend]  	[NO 1823 VARIANT]
 Mothers 	 mother’s 
[DELstart] fo[DELend] man 	 woman 
unkindness  	 unkindness, 
 oftenor 	 oftener 
 as 	 of 
[DELstart] h[DELend]  	[NO 1823 VARIANT]
 & 	 and 
 last 	 length 
 Mad. Martin 	 Madame Moritz 
 encreased 	 increased 
 rest 	 peace 
ever; [DELstart] for[DELend][DELstart] S[DELend][DELstart] did[DELend]  	 ever. She 
th[ADDstart] is[ADDend][ADDstart] ^[ADDend][ADDstart] last[ADDend] . 	 this last winter. 
 us 	 us; 
 extremely mild & pretty and 	 gentle, and extremely pretty; 
before [DELstart] she[DELend][DELstart] is[DELend]  	 before, 
[DELstart] air[DELend][ADDstart] mein[ADDend]  	 mien 
[DELstart] are[DELend]  	[NO 1823 VARIANT]
Aunt.[DELstart] And[DELend]  I 	 aunt.     “I 
 you also, My 	 you, my 
 Victor, 	 cousin, 
 him. He 	 him; he 
 age 	 age, 
eyes [DELstart] and[DELend]  	 eyes, 
 eyelashes 	 eye-lashes, 
 hair 	 hair. 
 smiles 	 smiles, 
 his cheeks 	 each cheek, 
health — his chin comes down in [DELstart] a[DELend] He 	 health. He 
 but 	 wives , but 
[DELstart] Caln[DELend]  	[NO 1823 VARIANT]
 favourite– 	 favourite, 
old [DELstart] Miss Mansfeld[DELend]  Now, 	 of age.     “Now, 
 Victor 	 Victor, 
  	[NO 1823 VARIANT]
[DELstart] I[DELend]  	[NO 1823 VARIANT]
 about your acquaintance. 	 concerning the good people of Geneva. 
 Mansfeld 	 Mansfield 
[DELstart] on[DELend][DELstart] her[DELend]  	[NO 1823 VARIANT]
[DELstart] Mebourne[DELend] bourne 	 Melbourne, 
 sister Manon 	 sister, Manon, 
 Hofland 	 Duvillard, 
 banker 	 banker, 
 schoolfellow 	 schoolfellow, 
Manoir [DELstart] ma[DELend]  	 Manoir, 
[DELstart] d[DELend]  	[NO 1823 VARIANT]
Geneva [DELstart] b[DELend]  	 Geneva. 
[DELstart] atready[DELend]  	[NO 1823 VARIANT]
 spirits 	 spirits, 
 he 	 is 
[DELstart] m[DELend]  	[NO 1823 VARIANT]
french  woman— Mad. Tavernier –She 	 Frenchwoman, Madame Tavernier. She 
 widow 	 widow, 
 Manoir 	 Manoir; 
[DELstart] adv[DELend]  admired 	 admired, 
body. I 	 body.     “I 
 Cousin 	 cousin; 
 can not 	 cannot 
 enquiring 	 inquiring 
 health— 	 health. 
 ill 	 ill, 
 yourself 	 yourself, 
 happy or— I 	 happy; or——I 
[ADDstart] ^[ADDend][ADDstart] on[ADDend]  	 of 
 question 	 question; 
flow[DELstart] dearrest[DELend]  – 	 flow. Adieu, my 
Victor  	 cousin.     “E LIZABETH  L AVENZA .   
  	[NO 1823 VARIANT]
 "Dear, 	 “Dear, 
 Elizabeth" 	 Elizabeth!” 
 letter"–I 	 letter, “I 
 instantly 	 instantly, 
 great pain 	 anxiety 
feel." I 	 feel.” I 
[DELstart] was[DELend] commenced 	 had commenced, 
[DELstart] went on[DELend][ADDstart] on[ADDend][ADDstart] proceeded[ADDend]  regularly–in 	 proceeded regularly. In 
  	[NO 1823 VARIANT]
 one 	 One 
[ADDstart] ^[ADDend][ADDstart] several[ADDend]  	 several 
 And in 	 In 
 this 	 this, 
under [DELstart] torments[DELend]  	 underwent 
usage [DELstart] that[DELend]  	 usage, 
[DELstart] befitten[DELend]  	[NO 1823 VARIANT]
[ADDstart] that[ADDend] my 	 that my 
 night – 	 night, 
labours & the 	 labours, and the 
misfortunes [DELstart] ([DELend]  	 misfortunes, 
[DELstart] Chemistry[DELend][ADDstart] Natural Philosophy[ADDend] . 	 natural philosophy. 
[ADDstart] a[ADDend] Chemical 	 a chemical 
[ADDstart] renewed[ADDend]  	 would renew 
[ADDstart] ^[ADDend] the 	 the 
my[ADDstart] ^[ADDend]  	[NO 1823 VARIANT]
symtoms. [DELstart] Lo[DELend] Henry 	 symptoms. Henry 
 this 	 this, 
[DELstart] packed up[DELend][ADDstart] removed[ADDend] all 	 removed all 
[DELstart] machines[DELend][DELstart] in a chest[DELend] apparatus 	 apparatus 
[DELstart] che[DELend]  he 	 view. He 
[DELstart] room[DELend][ADDstart] apartment,[ADDend]  	 apartment; 
 to 	 for 
 workshop. 	 laboratory. 
[DELstart] thrown away[DELend] made 	 made 
 even my excellent 	[NO 1823 VARIANT]
 praised 	 praised, 
[DELstart] the[DELend]  	[NO 1823 VARIANT]
 that 	[NO 1823 VARIANT]
dislike[DELstart] of[DELend][ADDstart] d[ADDend]  	 disliked 
 subject, 	 subject; 
 cause 	 cause, 
feelings[DELstart] on hearing myself praised[DELend][DELstart] he therefore[DELend]  	 feelings to modesty, and 
[DELstart] an[DELend]  	[NO 1823 VARIANT]
 desire 	 desire, 
 saw 	 saw, 
[DELstart] friend[DELend]  	[NO 1823 VARIANT]
[DELstart] K[DELend][DELstart] How cruel is[DELend]  	[NO 1823 VARIANT]
please [DELstart] and[DELend][DELstart] me[DELend] & 	 please, and 
[DELstart] tortured[DELend][DELstart] it was[DELend] I 	 tormented me. I 
[DELstart] had[DELend] carefully 	 had placed carefully, 
one [DELstart] placed[DELend]  	 one, 
[DELstart] dre[DELend]  	[NO 1823 VARIANT]
shew [DELstart] my[DELend]  	 exhibit 
 others 	 others, 
subject alledging [ADDstart] ^[ADDend][ADDstart] his[ADDend] ignorance & 	 subject, alleging, in excuse, his total ignorance; and 
 him 	 my friend 
 saw 	[NO 1823 VARIANT]
 me, 	 me; 
[DELstart] love[DELend]  	 affection 
[DELstart] pr[DELend]  	[NO 1823 VARIANT]
 thoughts, 	 recollection, 
  	[NO 1823 VARIANT]
 . 	 M. 
[DELstart] yet[DELend][ADDstart] ^[ADDend][ADDstart] equally[ADDend][ADDstart] &[ADDend] as 	 equally docile; and in 
illness had made me condition 	 condition at that time, 
in  	 insupportable sensitiveness, 
 econiums 	 encomiums 
[DELstart] that[DELend]  	[NO 1823 VARIANT]
Waldman —"Dam[ADDstart] n[ADDend] "the fellow," 	 Waldman. “D—n the fellow!” 
he "Why M "I tell 	 he; “why, M. Clerval, I assure 
[DELstart] beaut[DELend]  	[NO 1823 VARIANT]
 "us all– ay 	 us all. Ay, 
 please 	 please; 
 "it 	 it 
 nevertheless true – 	 nevertheeless true. 
 "who 	 who, 
[DELstart] two[DELend]  three 	 a few 
 ago 	 ago, 
[DELstart] to be[DELend][ADDstart] ^[ADDend] as 	 Cornelius Agrippa, as 
